brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,estimated_range,range_diff_pct,range_per_kWh,speed_efficiency_ratio,performance_index,range_category,charge_rate_kw_per_kWh,eco_score,battery_capacity_binned,range_binned,battery_capacity_binarized,range_binarized
Citroen,e-SpaceTourer M 50 kWh,130,46.3,Lithium-ion,220.0,217,180,13.3,78.0,CCS,1000.0,603,9,FWD,N - Passenger Van,Small Passenger Van,213.36405529953916,18.535586277521755,3.8876889848812097,0.5990783410138248,9.774436090225564,Shkurt,1.6846652267818576,2.138605588729715,1,0,1.0,1
Citroen,e-SpaceTourer M 75 kWh,130,68.0,Lithium-ion,220.0,202,260,14.2,79.0,CCS,1000.0,603,9,FWD,N - Passenger Van,Small Passenger Van,336.63366336633663,29.474485910129474,3.823529411764706,0.6435643564356436,9.15492957746479,Shkurt,1.161764705882353,2.1189185198552996,2,1,1.0,1
Citroen,e-SpaceTourer XL 50 kWh,130,46.3,Lithium-ion,220.0,219,180,13.3,78.0,CCS,1000.0,989,9,FWD,N - Passenger Van,Small Passenger Van,211.41552511415526,17.453069507864033,3.8876889848812097,0.593607305936073,9.774436090225564,Shkurt,1.6846652267818576,2.1369642782063893,1,0,1.0,1
Citroen,e-SpaceTourer XL 75 kWh,130,68.0,Lithium-ion,220.0,204,260,14.2,79.0,CCS,1000.0,989,9,FWD,N - Passenger Van,Small Passenger Van,333.3333333333333,28.2051282051282,3.823529411764706,0.6372549019607843,9.15492957746479,Shkurt,1.161764705882353,2.117025683512842,2,1,1.0,1
Dacia,Spring Electric 45,125,25.0,Lithium-ion,125.0,109,165,19.1,29.0,CCS,0.0,308,4,FWD,A - Mini,Hatchback,229.3577981651376,39.004726160689465,6.6,1.146788990825688,6.544502617801046,Shkurt,1.16,3.6545079014361876,0,0,1.0,1
Dacia,Spring Electric 65,125,25.0,Lithium-ion,113.0,114,160,13.7,29.0,CCS,0.0,308,4,FWD,A - Mini,Hatchback,219.2982456140351,37.06140350877193,6.4,1.0964912280701755,9.124087591240876,Shkurt,1.16,3.5435459085670384,0,0,1.0,1
Lucid,Air Grand Touring,270,112.0,Lithium-ion,1200.0,143,665,3.0,184.0,CCS,0.0,456,5,AWD,F - Luxury,Sedan,783.2167832167833,17.776959882223046,5.9375,1.8881118881118881,90.0,Gjatë,1.6428571428571428,3.6018502331002336,4,4,1.0,1
Maserati,GranCabrio Folgore,290,83.0,Lithium-ion,1350.0,198,395,2.8,190.0,CCS,,151,4,AWD,F - Luxury,Cabriolet,419.19191919191917,6.124536504283333,4.759036144578313,1.4646464646464648,103.57142857142858,Mesatar,2.289156626506024,2.8903405831116675,3,2,1.0,1
Maserati,GranTurismo Folgore,325,83.0,Lithium-ion,1350.0,182,420,2.7,217.0,CCS,,270,4,AWD,F - Luxury,Coupe,456.04395604395603,8.581894296180007,5.0602409638554215,1.7857142857142858,120.37037037037037,Mesatar,2.6144578313253013,3.1399088417160703,3,2,1.0,1
Mercedes-Benz,EQT 200 Long,132,45.0,Lithium-ion,245.0,177,220,13.3,50.0,CCS,1500.0,828,7,FWD,N - Passenger Van,Small Passenger Van,254.23728813559322,15.562403697996919,4.888888888888889,0.7457627118644068,9.924812030075188,Shkurt,1.1111111111111112,2.683210851988729,1,0,1.0,1
Nissan,Townstar EV Passenger L2,130,45.0,Lithium-ion,245.0,173,220,13.3,50.0,CCS,1500.0,819,7,FWD,N - Passenger Van,Small Passenger Van,260.11560693641616,18.23436678928007,4.888888888888889,0.7514450867052023,9.774436090225564,Shkurt,1.1111111111111112,2.684915564440968,1,0,1.0,1
Opel,Zafira-e Life L2 50 kWh,130,46.3,Lithium-ion,270.0,217,180,13.3,78.0,CCS,1000.0,603,9,FWD,N - Passenger Van,Small Passenger Van,213.36405529953916,18.535586277521755,3.8876889848812097,0.5990783410138248,9.774436090225564,Shkurt,1.6846652267818576,2.138605588729715,1,0,1.0,1
Opel,Zafira-e Life L2 75 kWh,130,68.0,Lithium-ion,270.0,202,260,14.2,79.0,CCS,1000.0,603,9,FWD,N - Passenger Van,Small Passenger Van,336.63366336633663,29.474485910129474,3.823529411764706,0.6435643564356436,9.15492957746479,Shkurt,1.161764705882353,2.1189185198552996,2,1,1.0,1
Opel,Zafira-e Life L3 50 kWh,130,46.3,Lithium-ion,270.0,219,180,13.3,78.0,CCS,1000.0,989,9,FWD,N - Passenger Van,Small Passenger Van,211.41552511415526,17.453069507864033,3.8876889848812097,0.593607305936073,9.774436090225564,Shkurt,1.6846652267818576,2.1369642782063893,1,0,1.0,1
Opel,Zafira-e Life L3 75 kWh,130,68.0,Lithium-ion,260.0,204,260,14.2,79.0,CCS,1000.0,989,9,FWD,N - Passenger Van,Small Passenger Van,333.3333333333333,28.2051282051282,3.823529411764706,0.6372549019607843,9.15492957746479,Shkurt,1.161764705882353,2.117025683512842,2,1,1.0,1
Peugeot,e-Traveller L2 50 kWh,130,46.3,Lithium-ion,270.0,217,180,13.3,78.0,CCS,1000.0,603,9,FWD,N - Passenger Van,Small Passenger Van,213.36405529953916,18.535586277521755,3.8876889848812097,0.5990783410138248,9.774436090225564,Shkurt,1.6846652267818576,2.138605588729715,1,0,1.0,1
Peugeot,e-Traveller L2 75 kWh,130,68.0,Lithium-ion,270.0,202,260,14.2,79.0,CCS,1000.0,603,9,FWD,N - Passenger Van,Small Passenger Van,336.63366336633663,29.474485910129474,3.823529411764706,0.6435643564356436,9.15492957746479,Shkurt,1.161764705882353,2.1189185198552996,2,1,1.0,1
Peugeot,e-Traveller L3 50 kWh,130,46.3,Lithium-ion,270.0,219,180,13.3,78.0,CCS,1000.0,989,9,FWD,N - Passenger Van,Small Passenger Van,211.41552511415526,17.453069507864033,3.8876889848812097,0.593607305936073,9.774436090225564,Shkurt,1.6846652267818576,2.1369642782063893,1,0,1.0,1
Peugeot,e-Traveller L3 75 kWh,130,68.0,Lithium-ion,270.0,204,260,14.2,79.0,CCS,1000.0,989,9,FWD,N - Passenger Van,Small Passenger Van,333.3333333333333,28.2051282051282,3.823529411764706,0.6372549019607843,9.15492957746479,Shkurt,1.161764705882353,2.117025683512842,2,1,1.0,1
Porsche,Taycan Turbo GT,290,97.0,Lithium-ion,1340.0,184,475,2.3,281.0,CCS,0.0,326,5,AWD,F - Luxury,Sedan,527.1739130434783,10.983981693363843,4.896907216494846,1.576086956521739,126.08695652173914,Mesatar,2.8969072164948453,3.0082362169430747,3,3,1.0,1
Porsche,Taycan Turbo GT Weissach,305,97.0,Lithium-ion,1340.0,180,475,2.2,281.0,CCS,0.0,367,2,AWD,F - Luxury,Sedan,538.8888888888889,13.450292397660824,4.896907216494846,1.6944444444444444,138.63636363636363,Mesatar,2.8969072164948453,3.047696032489847,3,3,1.0,1
Renault,Kangoo Grand E-Tech Electric,130,45.0,Lithium-ion,245.0,170,220,13.3,50.0,CCS,1500.0,500,7,FWD,N - Passenger Van,Small Passenger Van,264.70588235294116,20.320855614973254,4.888888888888889,0.7647058823529411,9.774436090225564,Shkurt,1.1111111111111112,2.6888938031352896,1,0,1.0,1
Tesla,Model S Plaid,282,95.0,Lithium-ion,,158,560,2.3,140.0,CCS,1600.0,709,5,AWD,F - Luxury,Liftback Sedan,601.2658227848101,7.368896925858946,5.894736842105263,1.7848101265822784,122.60869565217392,Gjatë,1.4736842105263157,3.569767980766445,3,3,1.0,1
Toyota,PROACE Verso L 75 kWh,130,68.0,Lithium-ion,260.0,204,260,13.3,79.0,CCS,1000.0,989,9,FWD,N - Passenger Van,Small Passenger Van,333.3333333333333,28.2051282051282,3.823529411764706,0.6372549019607843,9.774436090225564,Shkurt,1.161764705882353,2.117978770455551,2,1,1.0,1
Toyota,PROACE Verso M 75 kWh,130,68.0,Lithium-ion,260.0,202,260,13.3,79.0,CCS,1000.0,603,9,FWD,N - Passenger Van,Small Passenger Van,336.63366336633663,29.474485910129474,3.823529411764706,0.6435643564356436,9.774436090225564,Shkurt,1.161764705882353,2.1198716067980086,2,1,1.0,1
